nivel_tiempo,anio,subperiodo,total_sismos,magnitud_maxima
mensual,2022,6,2335,5.3
mensual,2022,7,2225,4.7
mensual,2022,8,1880,5.2
mensual,2022,9,2654,7.7
mensual,2022,10,2844,5.8
mensual,2022,11,3175,6.3
mensual,2022,12,3119,6.0
mensual,2023,1,2122,5.2
mensual,2023,2,2100,4.7
mensual,2023,3,2120,5.8
mensual,2023,4,2044,5.5
mensual,2023,5,2046,5.2
mensual,2023,6,1856,6.4
mensual,2023,7,1854,6.5
mensual,2023,8,1896,5.8
mensual,2023,9,1955,5.8
mensual,2023,10,1917,6.0
mensual,2023,11,1961,5.0
mensual,2023,12,2246,5.7
mensual,2024,1,2262,5.0
mensual,2024,2,2532,5.0
mensual,2024,3,2015,4.7
mensual,2024,4,2209,5.6
mensual,2024,5,2440,6.3
mensual,2024,6,2500,5.2
mensual,2024,7,2701,5.4
mensual,2024,8,1120,4.7
mensual,2024,9,5037,5.2
mensual,2024,10,4519,5.8
mensual,2024,11,2398,5.4
mensual,2024,12,2712,4.9
mensual,2025,1,2992,6.1
mensual,2025,2,3098,5.7
mensual,2025,3,2663,5.5
mensual,2025,4,2642,4.9
mensual,2025,5,2304,5.9
mensual,2025,6,2480,5.8
mensual,2025,7,3501,5.2
mensual,2025,8,3081,6.0
mensual,2025,9,5437,5.7
mensual,2025,10,4936,4.9
mensual,2025,11,3681,5.8
mensual,2025,12,3056,5.5
mensual,2026,1,4758,6.5
mensual,2026,2,3146,5.7
mensual,2026,3,3162,5.2
mensual,2026,4,728,4.6
