hora,dia_semana,mes,estacion,total_sismos,magnitud_promedio
3,Sunday,2,invierno,203,3.5113300492610837
23,Tuesday,1,invierno,203,3.5532019704433497
3,Saturday,6,verano,203,3.5517241379310347
21,Monday,12,invierno,203,3.573399014778325
22,Thursday,10,otono,202,3.2539603960396035
5,Sunday,12,invierno,202,3.5381188118811884
0,Monday,6,verano,202,3.6435643564356437
22,Thursday,12,invierno,202,3.5351485148514854
20,Saturday,12,invierno,202,3.5787128712871286
4,Saturday,6,verano,202,3.597029702970297
5,Sunday,8,verano,202,3.592574257425743
22,Monday,12,invierno,202,3.452970297029703
16,Sunday,12,invierno,202,3.4445544554455445
6,Friday,11,otono,202,3.360891089108911
2,Tuesday,4,primavera,201,3.5601990049751246
2,Monday,3,primavera,201,3.616915422885572
13,Tuesday,1,invierno,201,3.51044776119403
13,Tuesday,9,otono,201,3.406965174129353
0,Sunday,8,verano,201,3.548258706467662
21,Saturday,12,invierno,201,3.4656716417910447
11,Sunday,1,invierno,201,3.4805970149253733
4,Thursday,1,invierno,201,3.5492537313432835
2,Wednesday,12,invierno,201,3.54228855721393
3,Thursday,12,invierno,201,3.462189054726368
6,Monday,2,invierno,201,3.490547263681592
5,Friday,11,otono,201,3.4363184079601994
21,Thursday,1,invierno,201,3.582587064676617
20,Tuesday,12,invierno,201,3.543781094527363
5,Sunday,4,primavera,201,3.6109452736318404
22,Monday,7,verano,201,3.537810945273632
6,Wednesday,1,invierno,201,3.5358208955223884
6,Friday,10,otono,200,3.437
23,Saturday,9,otono,200,3.4539999999999997
21,Wednesday,3,primavera,200,3.57
17,Tuesday,9,otono,200,3.2910000000000004
14,Friday,1,invierno,200,3.5825
21,Monday,3,primavera,200,3.5175
23,Thursday,3,primavera,200,3.565
14,Sunday,12,invierno,200,3.5265
19,Tuesday,11,otono,200,3.525
5,Saturday,12,invierno,200,3.4665
2,Tuesday,3,primavera,200,3.57
1,Wednesday,3,primavera,200,3.6264999999999996
4,Tuesday,11,otono,199,3.301005025125628
4,Thursday,4,primavera,199,3.6100502512562813
10,Wednesday,9,otono,199,3.1668341708542718
6,Saturday,12,invierno,199,3.375376884422111
3,Monday,6,verano,199,3.609547738693467
21,Sunday,3,primavera,199,3.5924623115577887
2,Thursday,4,primavera,199,3.658291457286432
23,Saturday,12,invierno,199,3.533668341708543
4,Friday,7,verano,199,3.5155778894472363
9,Sunday,1,invierno,199,3.514070351758794
20,Sunday,10,otono,199,3.3412060301507536
15,Sunday,2,invierno,199,3.478391959798995
2,Monday,11,otono,199,3.5547738693467337
23,Monday,7,verano,199,3.6055276381909547
5,Wednesday,3,primavera,199,3.601005025125628
21,Sunday,12,invierno,198,3.606060606060606
9,Monday,2,invierno,198,3.4525252525252528
9,Monday,9,otono,198,3.4737373737373733
9,Tuesday,9,otono,198,3.2323232323232323
3,Tuesday,3,primavera,198,3.5883838383838382
14,Monday,9,otono,198,3.482828282828283
15,Sunday,1,invierno,198,3.5348484848484847
2,Wednesday,7,verano,198,3.5363636363636366
1,Sunday,2,invierno,198,3.5176767676767677
11,Sunday,6,verano,198,3.581818181818182
22,Tuesday,7,verano,198,3.528787878787879
11,Friday,9,otono,198,3.3353535353535353
20,Friday,11,otono,198,3.5353535353535355
15,Sunday,9,otono,198,3.2772727272727273
9,Friday,1,invierno,198,3.545959595959596
9,Friday,12,invierno,198,3.557070707070707
4,Sunday,5,primavera,198,3.6585858585858584
17,Tuesday,1,invierno,198,3.534343434343434
20,Sunday,9,otono,198,3.340909090909091
4,Thursday,8,verano,198,3.6035353535353534
22,Wednesday,4,primavera,198,3.556565656565657
18,Wednesday,2,invierno,198,3.5212121212121215
19,Friday,1,invierno,198,3.508585858585859
19,Monday,2,invierno,198,3.482828282828283
21,Wednesday,12,invierno,197,3.4984771573604063
14,Sunday,9,otono,197,3.4685279187817257
6,Tuesday,10,otono,197,3.3213197969543145
13,Sunday,2,invierno,197,3.4624365482233506
20,Friday,10,otono,197,3.3756345177664975
4,Wednesday,3,primavera,197,3.578172588832487
10,Saturday,9,otono,197,3.4401015228426397
0,Monday,12,invierno,197,3.53502538071066
23,Wednesday,3,primavera,197,3.6274111675126903
20,Sunday,11,otono,197,3.5197969543147205
7,Thursday,9,otono,197,3.317766497461929
14,Sunday,3,primavera,196,3.572448979591837
6,Sunday,11,otono,196,3.4770408163265305
0,Monday,4,primavera,196,3.639795918367347
20,Saturday,10,otono,196,3.443877551020408
20,Friday,9,otono,196,3.5770408163265306
19,Thursday,1,invierno,196,3.6158163265306125
22,Tuesday,12,invierno,196,3.544387755102041
6,Friday,12,invierno,196,3.4770408163265305
9,Thursday,9,otono,196,3.3872448979591834
2,Friday,3,primavera,196,3.597448979591837
4,Tuesday,3,primavera,196,3.537755102040816
16,Tuesday,9,otono,196,3.3454081632653065
7,Friday,9,otono,196,3.3270408163265306
1,Saturday,6,verano,196,3.614795918367347
2,Sunday,7,verano,196,3.5581632653061224
0,Tuesday,11,otono,196,3.517857142857143
1,Tuesday,7,verano,196,3.525
6,Wednesday,6,verano,196,3.562755102040816
